,X,Y,Z,omega,phi,kappa,c,b1,b2,b3,b4,b5,b6,b7,SE
40,0.14483826,-0.01457709,0.02234983,1.1452252,2.52653072,1.32344947,2058.15850492,-0.4419708442537039,-0.4341793384487658,0.8795393722424992,-1.7505464352280713,-1.2908411042188952,0.5954345642225929,-0.09251566439232906,2.500485902906624
48,-0.00189496,-0.00161785,0.01013222,0.95392712,-2.74262742,2.93151849,1280.0,-0.4558753749038663,1.085599098240554,-0.3735384574718872,-0.6430545935522926,0.8058153655663621,-0.23999724664397465,2.012670697322668,2.670889694999901
95,-0.01573601,-0.00960076,-0.01402277,0.4235968,-2.05423679,-0.08756766,1611.61051102,-0.557012771106275,0.12604065303504672,-0.47429006724612216,-2.451920077008972,0.49764067937501044,-0.5621276612919012,0.7725130788839332,2.8067257191542856
54,0.14089173,0.10421789,-0.01209062,1.74132529,1.60614283,0.16799654,3083.78404521,-0.2144465716190762,-1.2293462365059273,-0.07194790807595089,1.2762828980066,0.2337876465378278,-1.5724624956765079,-0.05563241012422318,2.848153455816644
93,0.13926699,0.10302583,-0.00752094,1.44074322,1.78661118,-0.13257412,2531.85853991,-0.003116518954323716,-1.1925471406811514,-0.4346149444961652,1.2121866248813171,0.4018980501925829,-1.5421536733217458,-0.31271073720630893,2.8523381609928276
19,0.14937935,0.09713725,0.16780795,1.89619035,2.60578187,-1.99267093,2407.72204011,0.28602399756058133,1.7064735220461995,1.0302569676088487,0.260946861756961,-1.6249398563661896,-0.3009906654741039,-0.3836239602862204,2.8556206837857543
56,0.15328195,0.10411365,0.00418349,2.33490114,1.60176735,-2.37367311,3289.78607807,0.41051432034752144,-1.3853405541139898,-0.32054385304559185,1.3512556683798893,0.6565862108084879,-1.443750267053003,-0.10881893002383028,2.885375701170027
28,0.08836892,0.04495256,0.07988781,2.92515818,-1.79516059,-0.15991634,968.0246697,0.33640603137981273,-0.697555298761585,-0.18742227899351677,0.6058688610798038,-0.9865425169513221,-2.5305362330583683,-0.32616269287624755,2.9165115433231934
13,-0.00371432,-0.00015188,-0.00721313,0.91922855,-2.5560867,-0.09556319,1280.0,-0.6251277380106909,0.4986889116721725,-0.9668014076136218,-2.4841655063922765,0.3942062380637055,-0.6080159870772037,0.7317819299794198,2.9712068874435342
53,0.03099699,0.03224471,0.00014139,1.48791297,-1.59515153,-3.09609968,1280.0,-0.08853260376497367,0.922056899276156,-0.15623404613273356,-0.9833525532791125,0.08802408248944635,1.6094631356255715,0.05298973891729675,3.074131574626325
25,0.07923536,0.1018045,0.08240696,0.33502874,-1.40045602,2.45409143,1296.83521581,1.3517744592880194,-2.190339441822785,0.09884892879425011,0.5514723976860388,-0.5966032470447633,-1.5339952922248496,-0.27045705303625006,3.118896337239378
20,0.00095388,-0.06238076,-0.00874612,1.01209348,1.84728907,2.44529916,3640.25933138,-0.4712612593915474,0.20795164842237449,-0.37589866028758223,0.06645393473832309,0.07478597423572958,-0.9603381525845789,0.5392911740328519,3.191047355798502
1,-0.00770719,0.00018917,0.02651953,0.57063814,-2.37514358,2.7606792,3256.48019694,-0.7913042434341264,0.6346960598097642,-1.0746890520369787,-2.5172649619641976,0.5155519014650298,-0.715450239042428,0.9479654946685749,3.1955812886739006
